-2108,234,629,60,754,1067,-1527,-1151,1167,-647
1427,-991,-1886,1500,-162,-1253,-343,2043,-338,390
-1668,-770,-519,359,-1920,665,-1737,949,-1560,1456
-1506,-840,804,-1507,-222,-779,-982,-366,-1977,206
391,-570,1748,-1732,-170,-1208,517,-1534,-2754,-674
2431,-1126,-1307,-1990,-7,476,-197,2054,-386,-1146
-971,1083,-1,629,-1270,1789,1755,-720,563,-485
2094,1181,-423,-625,2131,532,1799,346,-1497,-570
564,846,374,1480,210,749,-528,1560,182,-2309
-1580,-784,-148,-123,-46,1372,1522,-1998,1100,870
1621,1752,923,239,1118,-820,-1590,-566,1585,-1047
213,896,-2226,-1399,1124,1017,-852,106,749,1425
815,1389,2748,1828,-2879,-879,-1910,-165,463,-182
-1591,-675,-1393,-2361,424,-524,639,93,638,-1580
-947,512,693,-1931,-130,-617,282,1355,-1562,-2326
138,0,2282,-736,1714,-2019,-379,1604,704,956
958,884,-444,-1843,-1800,2525,-1613,653,1172,-408
-1186,-1779,-1332,-645,-1497,2421,1729,-1056,-2152,-1095
-753,1938,1525,-173,88,-1880,1247,-563,-2223,1126
-1275,801,-665,-1061,67,-1365,-1693,344,-236,1453
759,-2074,839,-62,324,-1010,-798,367,599,448
-322,-223,-1095,-1789,-1698,1354,-340,1614,-1413,670
-1096,-1779,1196,-1667,-962,-1625,1516,-824,-1265,1278
-696,1475,-985,1896,1861,-1331,-1600,1274,-2005,2652
1264,255,-494,1994,1013,-546,474,-1752,1158,1322
-954,571,1315,-299,-390,-802,-1575,-1778,1433,-747
-1001,-1569,-406,-10,11,-636,-1188,-202,-1932,2014
-1608,2359,-1421,-3,2371,-81,1262,753,1227,-1594
-345,1404,-749,-541,187,1244,632,1344,316,1336
1281,1428,-363,801,1149,-388,-724,-1414,121,-195
383,905,-2086,727,-1511,-255,1932,19,-164,1822
-1475,-1864,-217,-1361,-1587,1469,2371,1,639,709
-959,1875,-125,1497,-934,-2369,391,300,-62,-2263
752,1678,1469,-812,1030,1368,-1684,-1500,-125,-1099
416,1118,-64,-172,1484,1215,-339,1480,799,-619
-1378,947,-207,-721,1445,1708,715,480,-1616,402
1879,246,-798,-307,2245,-1077,1328,356,-30,1428
-1129,442,-167,-1030,1110,818,1006,-1625,694,1656
-1148,-2006,2966,-1184,-148,-176,-906,-1710,-1157,-1762
1034,1145,-1523,-1336,1310,1907,-254,-1235,1434,-1134
-186,-1112,1309,928,269,-1590,930,-1713,808,-991
-2238,-1541,-569,381,1092,1842,-2147,-49,-1479,935
-1496,-9,731,-268,145,-693,1674,867,-1139,-1850
-714,444,-1926,-1116,-326,814,-1748,1285,-1325,764
100,1726,-528,-274,1654,956,415,-1662,-1358,689
-1149,2512,-1764,619,394,228,-412,-1570,25,-730
-1758,358,-1818,2202,1113,2822,-1219,-1617,-2915,1767
2323,-1059,246,2188,-422,2434,1506,-2883,2143,-770
-1451,2423,-367,986,1177,-819,-408,1413,-1737,-750
-1735,-670,-1140,-1165,-2187,2762,-1566,1052,-1500,-577
-714,1163,1070,2225,1537,-1878,-1605,1221,-2279,-2163
2021,-1103,-519,-1385,-1131,-2144,1653,-1123,-1082,945
-400,849,-143,304,-1359,-262,771,703,1315,-2038
-1135,-659,1396,1993,-2493,213,1301,1482,1464,123
1008,-42,406,-116,484,795,-656,1896,1171,-1350
-1886,-1587,-1693,1448,672,2156,-2110,1423,-1994,402
1302,718,-1855,-1741,1707,388,-1125,721,665,-2041
-1355,-1562,-1839,-1335,-846,-1190,-489,-767,1685,2088
-656,1432,161,518,1535,363,-1197,434,-2421,-94
-1714,1260,-1136,711,-490,-33,1033,2388,-1142,-1468
-343,1344,743,874,1527,1349,2446,-186,669,-2668
964,-87,-1061,-1905,-393,745,1889,-1730,-1337,-1863
-86,-1562,-301,193,-1038,264,-1392,1702,1560,1208
-1447,1169,-1833,-1905,-753,1251,1520,1223,547,-325
-1870,2057,-713,1833,409,580,-880,-1195,2303,-472
-90,-949,835,-822,-813,790,469,1974,646,-2463
-840,-408,-495,-657,1889,236,661,2310,-906,-2496
539,-1662,709,-2238,1629,442,-697,202,924,458
181,-696,1397,-712,378,-1991,-1535,-1963,1101,197
-1338,1892,1471,-1967,-588,-430,-1379,810,1078,-1815
-1644,-591,1669,1960,775,286,1637,263,-1099,1321
-846,-315,-1019,-11,1053,1823,-6,-220,1738,491
-917,458,1287,-1669,1484,1283,-397,-1138,-1632,1364
-75,-769,192,114,-1880,-1766,1904,1427,165,692
1307,-1946,2056,1253,-2027,801,1368,-916,-1441,1124
-1082,337,-2768,-1040,905,2523,-1623,-2024,1702,283
2094,1602,-299,-1607,-326,1237,1026,847,-1513,-807
1649,949,-1713,1842,-517,1282,-1517,-1351,97,550
198,752,643,-858,580,1897,-24,1806,404,1062
1052,-1476,229,256,-2341,1720,-534,1063,-807,1072
1009,-1155,-618,1678,573,1142,-2018,688,1578,1164
2034,-153,-98,-1581,1956,-1865,522,-154,-1450,2062
-2035,-1056,-1432,-702,1139,-619,-637,1676,269,1156
1495,1114,2221,-1094,524,-1324,1122,-479,-817,1921
-1690,-791,48,354,2229,1589,-2104,-2243,1941,1483
522,1207,-676,-68,2029,-155,1778,606,-2945,1516
1766,-462,199,1030,-27,-1291,368,1203,-1464,-1144
1087,2152,-1523,-2116,-228,-281,1023,789,-1517,-1962
-823,-1813,1298,-503,249,-1227,546,1326,544,-646
603,603,1248,-1662,-884,924,1029,-519,-1289,1572
121,1800,986,2132,787,1161,-717,1104,-2008,833
-2087,-2015,2209,-1393,-773,-437,1176,78,-1429,-584
-464,570,1230,-1797,2019,-1681,733,306,156,1811
71,-1164,1773,-1361,1152,-341,821,-438,-587,-48
-387,-678,-629,393,1368,-304,2185,-624,-719,-1487
2042,-1814,-242,-85,1571,-127,-1634,563,839,-1101
-1564,1408,1398,39,-1029,1713,-117,475,-1451,-2048
336,12,811,373,927,583,1282,1355,588,215
-640,1638,834,304,1159,-905,-1535,-814,-1953,357
96,-1541,-637,-201,487,-471,-19,1188,1414,-1467
-872,652,525,1962,379,129,1475,-1319,-1904,1128
-924,-1724,483,-462,1409,-1123,-732,1695,1339,-1154
514,-901,-2484,-885,565,2157,1027,16,-858,1681
1957,920,-1809,-2153,488,502,1158,21,-536,1958
1658,1141,-1684,1350,1228,-587,-1028,-557,683,-1543
-490,-44,1887,-1703,1727,1138,1124,-1090,-1177,-615
